indicator_id,year,total_live_births,skilled_attended_live_births,included_attendant_categories,calculated_percentage,archive_value,difference_from_archive,matches_archive_precision,source_url,retrieval_method,retrieval_date,source_notes
3.1.2,2022,3667758,3619154,Doctor of Medicine (MD) | Doctor of Osteopathy (DO) | Certified Nurse Midwife (CNM / CM) | Other Midwife,98.674831,98.7,-0.025169,true,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip,nchs_public_use_and_census_download,2026-08-13,CDC WONDER query paths were unavailable; official NCHS public-use files and matching Census population estimates were used.
3.1.2,2023,3596017,3551276,Doctor of Medicine (MD) | Doctor of Osteopathy (DO) | Certified Nurse Midwife (CNM / CM) | Other Midwife,98.755818,,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip,nchs_public_use_and_census_download,2026-08-13,CDC WONDER query paths were unavailable; official NCHS public-use files and matching Census population estimates were used.
3.1.2,2024,3628934,3585456,Doctor of Medicine (MD) | Doctor of Osteopathy (DO) | Certified Nurse Midwife (CNM / CM) | Other Midwife,98.801907,,,,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip,nchs_public_use_and_census_download,2026-08-13,CDC WONDER query paths were unavailable; official NCHS public-use files and matching Census population estimates were used.
