year,weighted_numerator,weighted_denominator,unweighted_numerator,unweighted_denominator,weight_variable,calculated_value,source_url,retrieval_method,retrieval_date
2018,3567079.2561,3970951.5884,1367,1526,PWSUPWGT,89.829331249471850146416657835475312993367542108311,https://www2.census.gov/programs-surveys/cps/datasets/2018/supp/oct18pub.zip,download,2026-08-09
2019,3712599.3722,4092117.7798,1294,1432,PWSUPWGT,90.72562355185806130691859320368430808967010270607,https://www2.census.gov/programs-surveys/cps/datasets/2019/supp/oct19pub.zip,download,2026-08-09
2020,3327332.5832,3944691.6362,1112,1313,PWSUPWGT,84.349624509693886525649130028695143864031295151709,https://www2.census.gov/programs-surveys/cps/datasets/2020/supp/oct20pub.zip,download,2026-08-09
2021,3498404.3240,4051583.7240,1095,1264,PWSUPWGT,86.346588453221854240028534580024885103423324937811,https://www2.census.gov/programs-surveys/cps/datasets/2021/supp/oct21pub.zip,download,2026-08-09
2022,3408817.8706,3829580.3578,1026,1146,PWSUPWGT,89.012830443863104357600901626391770919271660360823,https://www2.census.gov/programs-surveys/cps/datasets/2022/supp/oct22pub.zip,download,2026-08-09
2023,3380388.9421,3745783.1745,1005,1112,PWSUPWGT,90.245184641559663239391807994784936796933652839761,https://www2.census.gov/programs-surveys/cps/datasets/2023/supp/oct23pub.zip,download,2026-08-09
2024,3355253.5060,3760212.7479,943,1051,PWSUPWGT,89.230416759632516855656182059612978634037995624444,https://www2.census.gov/programs-surveys/cps/datasets/2024/supp/oct24pub.zip,download,2026-08-09
