indicator_id,comparison_component,series_code,series_description,year,value,unit,geography,geography_code,disaggregation,nature_code,nature_description,observation_status,source_organization,source_dataset,reported_source,source_url,custodian,database_release,database_last_updated,comparison_status,fallback_suitability,completeness_status,is_preferred_comparison,retrieval_method,retrieval_date,footnotes,notes
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2000,0.02007,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2001,0.021719,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2002,0.029016,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2003,0.042709,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2004,0.042467,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2005,0.045565,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2006,0.048653,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2007,0.043927,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2008,0.057153,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
17.2.1,ldc_oda_gni_net,DC_ODA_LDCG,"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",2009,0.066975,Percentage,United States of America,840,"{""Reporting Type"":""G""}",C,Country data,,Organisation for Economic Co-operation and Development (OECD),"Net official development assistance (ODA) to LDCs as a percentage of OECD-DAC donors' GNI, by donor countries (%)",The Organisation for Economic Co-operation and Development (OECD).,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=DC_ODA_LDCG&areaCode=840,Organisation for Economic Co-operation and Development (OECD),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,complete,false,api,2026-08-15,"[""Net Disbursements, Based on OECD, DAC database, 2026; Including imputed multilateral""]",Net ODA to least developed countries including imputed multilateral ODA; directly comparable within this mixed-method indicator.
