indicator_id,comparison_component,series_code,series_description,year,value,unit,geography,geography_code,disaggregation,nature_code,nature_description,observation_status,source_organization,source_dataset,reported_source,source_url,custodian,database_release,database_last_updated,comparison_status,fallback_suitability,completeness_status,is_preferred_comparison,retrieval_method,retrieval_date,footnotes,notes
3.4.2,both_sexes,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",2000,11.2,"Per 100,000 population",United States of America,840,"{""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",CA,Country adjusted data,,World Health Organization (WHO),"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SH_STA_SCIDE&areaCode=840,World Health Organization (WHO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,[],WHO country-adjusted Global Health Estimates are compared with the project's crude NVSS rate.
3.4.2,both_sexes,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",2005,11.8,"Per 100,000 population",United States of America,840,"{""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",CA,Country adjusted data,,World Health Organization (WHO),"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SH_STA_SCIDE&areaCode=840,World Health Organization (WHO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,[],WHO country-adjusted Global Health Estimates are compared with the project's crude NVSS rate.
3.4.2,both_sexes,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",2010,13.2,"Per 100,000 population",United States of America,840,"{""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",CA,Country adjusted data,,World Health Organization (WHO),"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SH_STA_SCIDE&areaCode=840,World Health Organization (WHO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,[],WHO country-adjusted Global Health Estimates are compared with the project's crude NVSS rate.
3.4.2,both_sexes,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",2015,14.4,"Per 100,000 population",United States of America,840,"{""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",CA,Country adjusted data,,World Health Organization (WHO),"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SH_STA_SCIDE&areaCode=840,World Health Organization (WHO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,[],WHO country-adjusted Global Health Estimates are compared with the project's crude NVSS rate.
3.4.2,both_sexes,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",2019,15.1,"Per 100,000 population",United States of America,840,"{""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",CA,Country adjusted data,,World Health Organization (WHO),"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SH_STA_SCIDE&areaCode=840,World Health Organization (WHO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,[],WHO country-adjusted Global Health Estimates are compared with the project's crude NVSS rate.
3.4.2,both_sexes,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",2020,15,"Per 100,000 population",United States of America,840,"{""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",CA,Country adjusted data,,World Health Organization (WHO),"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SH_STA_SCIDE&areaCode=840,World Health Organization (WHO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,false,api,2026-08-15,[],WHO country-adjusted Global Health Estimates are compared with the project's crude NVSS rate.
3.4.2,both_sexes,SH_STA_SCIDE,"Suicide mortality rate, by sex (deaths per 100,000 population)",2021,15.6,"Per 100,000 population",United States of America,840,"{""Reporting Type"":""G"",""Sex"":""BOTHSEX""}",CA,Country adjusted data,,World Health Organization (WHO),"Suicide mortality rate, by sex (deaths per 100,000 population)","Global Health Estimates 2021: Deaths by Cause, Age, Sex, by Country and by Region, 2000-2021. Geneva, World Health Organization, 2024",https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SH_STA_SCIDE&areaCode=840,World Health Organization (WHO),2026.Q2.G.01,2026-07-07T13:46:06,comparable_with_methodology_difference,comparison_only,not_assessed,true,api,2026-08-15,[],WHO country-adjusted Global Health Estimates are compared with the project's crude NVSS rate.
