indicator_id,comparison_component,series_code,series_description,year,value,unit,geography,geography_code,disaggregation,nature_code,nature_description,observation_status,source_organization,source_dataset,reported_source,source_url,custodian,database_release,database_last_updated,comparison_status,fallback_suitability,completeness_status,is_preferred_comparison,retrieval_method,retrieval_date,footnotes,notes
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2014,12.56,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2015,10.86,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2016,11.06,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2017,9.45,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2018,8.08,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2019,7.27,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2020,13.22,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old | Break in series: Methodology revised""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2021,10.16,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2022,7.38,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2023,7.17,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2024,7.54,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_with_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2025,8.09,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,true,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Repository: Annual estimates for 2025 are 11-month averages that exclude October. Data for October 2025 were not collected due to the federal government shutdown | Age coverage - minimum age: 16 years old | Break in series: Methodology revised""]",Current 19th-ICLS series; the U.S. source footnote records a minimum age of 16.
8.5.2,female_without_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2014,5.82,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PWD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; PWD is UNSD's code for persons without disability.
8.5.2,female_without_disability,SL_TLF_UEMDIS_19ICLS,"Unemployment rate, by sex and disability - 19th ICLS (%)",2015,4.96,Percentage,United States of America,840,"{""Age"":""15+"",""Disability status"":""PWD"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,A,International Labour Organization (ILO),"Unemployment rate, by sex and disability - 19th ICLS (%)",LFS - Current Population Survey,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SL_TLF_UEMDIS_19ICLS&areaCode=840,International Labour Organization (ILO),2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,"[""Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old""]",Current 19th-ICLS series; PWD is UNSD's code for persons without disability.
