indicator_id,comparison_component,series_code,series_description,year,value,unit,geography,geography_code,disaggregation,nature_code,nature_description,observation_status,source_organization,source_dataset,reported_source,source_url,custodian,database_release,database_last_updated,comparison_status,fallback_suitability,completeness_status,is_preferred_comparison,retrieval_method,retrieval_date,footnotes,notes
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2000,0.9,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2001,0.8,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2002,0.7,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2003,0.6,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2004,0.6,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2005,0.6,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2006,0.6,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2007,0.6,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2008,0.6,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2009,0.5,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2010,0.4,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2011,0.4,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2012,0.4,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2013,0.3,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration Human Fertility Collection,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_10_14,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2022,0.2,"Per 1,000 population",United States of America,840,"{""Age"":""10-14"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,true,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 10-14.
3.7.2,ages_15_19,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2000,47.700001,"Per 1,000 population",United States of America,840,"{""Age"":""15-19"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 15-19.
3.7.2,ages_15_19,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2001,45,"Per 1,000 population",United States of America,840,"{""Age"":""15-19"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 15-19.
3.7.2,ages_15_19,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2002,42.599998,"Per 1,000 population",United States of America,840,"{""Age"":""15-19"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 15-19.
3.7.2,ages_15_19,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2003,41.099998,"Per 1,000 population",United States of America,840,"{""Age"":""15-19"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 15-19.
3.7.2,ages_15_19,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2004,40.5,"Per 1,000 population",United States of America,840,"{""Age"":""15-19"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 15-19.
3.7.2,ages_15_19,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2005,39.700001,"Per 1,000 population",United States of America,840,"{""Age"":""15-19"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 15-19.
3.7.2,ages_15_19,SP_DYN_ADKL,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",2006,41.099998,"Per 1,000 population",United States of America,840,"{""Age"":""15-19"",""Location"":""ALLAREA"",""Reporting Type"":""G"",""Sex"":""FEMALE""}",C,Country data,,"United Nations Department of Economic and Social Affairs, Population Division","Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years)",Registration National Statistics,https://unstats.un.org/SDGAPI/v1/sdg/Series/Data?seriesCode=SP_DYN_ADKL&areaCode=840,"United Nations Department of Economic and Social Affairs, Population Division",2026.Q2.G.01,2026-07-07T13:46:06,directly_comparable,comparison_and_fallback,not_assessed,false,api,2026-08-15,[],Age-specific adolescent birth rate for women ages 15-19.
