indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
3.7.2,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2022,0.179133,"births per 1,000 women",United States,"{""age"":""10-14""}","Centers for Disease Control and Prevention, National Center for Health Statistics / U.S. Census Bureau","National Vital Statistics System, Natality public-use files with Census population denominators",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip | https://www2.census.gov/programs-surveys/popest/datasets/2020-2022/national/asrh/nc-est2022-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/national/asrh/nc-est2023-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/national/asrh/nc-est2024-agesex-res.csv,nchs_public_use_and_census_download,2026-08-13,nvss_age_specific_fertility_rate,archive_matched,Final resident live births are divided by the official Census female-population denominator for each maternal-age group. Current final data may revise the older archived vintage; birth counts of 1-9 are suppressed.
3.7.2,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2022,13.624448,"births per 1,000 women",United States,"{""age"":""15-19""}","Centers for Disease Control and Prevention, National Center for Health Statistics / U.S. Census Bureau","National Vital Statistics System, Natality public-use files with Census population denominators",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip | https://www2.census.gov/programs-surveys/popest/datasets/2020-2022/national/asrh/nc-est2022-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/national/asrh/nc-est2023-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/national/asrh/nc-est2024-agesex-res.csv,nchs_public_use_and_census_download,2026-08-13,nvss_age_specific_fertility_rate,archive_matched,Final resident live births are divided by the official Census female-population denominator for each maternal-age group. Current final data may revise the older archived vintage; birth counts of 1-9 are suppressed.
3.7.2,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2023,0.173705,"births per 1,000 women",United States,"{""age"":""10-14""}","Centers for Disease Control and Prevention, National Center for Health Statistics / U.S. Census Bureau","National Vital Statistics System, Natality public-use files with Census population denominators",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip | https://www2.census.gov/programs-surveys/popest/datasets/2020-2022/national/asrh/nc-est2022-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/national/asrh/nc-est2023-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/national/asrh/nc-est2024-agesex-res.csv,nchs_public_use_and_census_download,2026-08-13,nvss_age_specific_fertility_rate,current_methodology_verified,Final resident live births are divided by the official Census female-population denominator for each maternal-age group. Current final data may revise the older archived vintage; birth counts of 1-9 are suppressed.
3.7.2,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2023,13.079045,"births per 1,000 women",United States,"{""age"":""15-19""}","Centers for Disease Control and Prevention, National Center for Health Statistics / U.S. Census Bureau","National Vital Statistics System, Natality public-use files with Census population denominators",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip | https://www2.census.gov/programs-surveys/popest/datasets/2020-2022/national/asrh/nc-est2022-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/national/asrh/nc-est2023-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/national/asrh/nc-est2024-agesex-res.csv,nchs_public_use_and_census_download,2026-08-13,nvss_age_specific_fertility_rate,current_methodology_verified,Final resident live births are divided by the official Census female-population denominator for each maternal-age group. Current final data may revise the older archived vintage; birth counts of 1-9 are suppressed.
3.7.2,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2024,0.169314,"births per 1,000 women",United States,"{""age"":""10-14""}","Centers for Disease Control and Prevention, National Center for Health Statistics / U.S. Census Bureau","National Vital Statistics System, Natality public-use files with Census population denominators",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip | https://www2.census.gov/programs-surveys/popest/datasets/2020-2022/national/asrh/nc-est2022-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/national/asrh/nc-est2023-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/national/asrh/nc-est2024-agesex-res.csv,nchs_public_use_and_census_download,2026-08-13,nvss_age_specific_fertility_rate,current_methodology_verified,Final resident live births are divided by the official Census female-population denominator for each maternal-age group. Current final data may revise the older archived vintage; birth counts of 1-9 are suppressed.
3.7.2,"Adolescent birth rate (aged 10-14 years; aged 15-19 years) per 1,000 women in that age group",2024,12.577634,"births per 1,000 women",United States,"{""age"":""15-19""}","Centers for Disease Control and Prevention, National Center for Health Statistics / U.S. Census Bureau","National Vital Statistics System, Natality public-use files with Census population denominators",https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2022us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2023us.zip | https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Datasets/DVS/natality/Nat2024us.zip | https://www2.census.gov/programs-surveys/popest/datasets/2020-2022/national/asrh/nc-est2022-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2023/national/asrh/nc-est2023-agesex-res.csv | https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/national/asrh/nc-est2024-agesex-res.csv,nchs_public_use_and_census_download,2026-08-13,nvss_age_specific_fertility_rate,current_methodology_verified,Final resident live births are divided by the official Census female-population denominator for each maternal-age group. Current final data may revise the older archived vintage; birth counts of 1-9 are suppressed.
