indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
3.9.3,Mortality rate attributed to unintentional poisoning,2018,0.468262,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_unintentional_poisoning_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X40, X43, and X46-X49 (sent to WONDER as four explicit categories). The archived U.S. series is age-adjusted and used broader X40-X49, so archive differences are diagnostic only."
3.9.3,Mortality rate attributed to unintentional poisoning,2019,0.492933,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_unintentional_poisoning_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X40, X43, and X46-X49 (sent to WONDER as four explicit categories). The archived U.S. series is age-adjusted and used broader X40-X49, so archive differences are diagnostic only."
3.9.3,Mortality rate attributed to unintentional poisoning,2020,0.475592,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_unintentional_poisoning_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X40, X43, and X46-X49 (sent to WONDER as four explicit categories). The archived U.S. series is age-adjusted and used broader X40-X49, so archive differences are diagnostic only."
3.9.3,Mortality rate attributed to unintentional poisoning,2021,0.492929,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_unintentional_poisoning_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X40, X43, and X46-X49 (sent to WONDER as four explicit categories). The archived U.S. series is age-adjusted and used broader X40-X49, so archive differences are diagnostic only."
3.9.3,Mortality rate attributed to unintentional poisoning,2022,0.458463,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_unintentional_poisoning_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X40, X43, and X46-X49 (sent to WONDER as four explicit categories). The archived U.S. series is age-adjusted and used broader X40-X49, so archive differences are diagnostic only."
3.9.3,Mortality rate attributed to unintentional poisoning,2023,0.425183,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_unintentional_poisoning_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X40, X43, and X46-X49 (sent to WONDER as four explicit categories). The archived U.S. series is age-adjusted and used broader X40-X49, so archive differences are diagnostic only."
3.9.3,Mortality rate attributed to unintentional poisoning,2024,0.426625,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_unintentional_poisoning_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X40, X43, and X46-X49 (sent to WONDER as four explicit categories). The archived U.S. series is age-adjusted and used broader X40-X49, so archive differences are diagnostic only."
