indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2010,216949.97,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2011,166777.31,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2012,167505.84,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2013,151859.57,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2014,238648,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2015,38519.84,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2016,71698.05,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2017,172870.8,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2018,50784.47,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2019,148083.07,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2020,4809.16,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2021,238682.43,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2022,228696.45,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2023,175905.23,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
10.b.1,"Total resource flows for development (e.g. official development assistance, foreign direct investment and other flows)",2024,233655.24,million current USD,United States,{},Organisation for Economic Co-operation and Development (OECD),OECD DAC1: Flows by provider (ODA+OOF+Private),"https://sdmx.oecd.org/public/rest/data/OECD.DCD.FSD,DSD_DAC1@DF_DAC1,1.7/USA._Z.1%2B5%2B1010..1140.USD.V?startPeriod=2000&endPeriod=2024&dimensionAtObservation=AllDimensions&format=csvfilewithlabels",api,2026-08-12,oecd_us_donor_total_resource_flows_net_current,current_methodology_verified,"This is the current OECD donor-flow implementation: official and private flows on a net-disbursement, current-price basis. The archived 2015 zero is a placeholder and is not validation data."
