indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
3.6.1,Death rate due to road traffic injuries,2018,11.968184,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_road_traffic_mortality,current_methodology_verified,"Current methodology: crude national rate using the current UN four-character road-traffic ICD-10 selection. UN-listed X59.4 is not a valid selectable code in CDC WONDER D158 and contributes no U.S. records. The archived U.S. series is age-adjusted, so archive differences are diagnostic only."
3.6.1,Death rate due to road traffic injuries,2019,11.832822,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_road_traffic_mortality,current_methodology_verified,"Current methodology: crude national rate using the current UN four-character road-traffic ICD-10 selection. UN-listed X59.4 is not a valid selectable code in CDC WONDER D158 and contributes no U.S. records. The archived U.S. series is age-adjusted, so archive differences are diagnostic only."
3.6.1,Death rate due to road traffic injuries,2020,12.731114,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_road_traffic_mortality,current_methodology_verified,"Current methodology: crude national rate using the current UN four-character road-traffic ICD-10 selection. UN-listed X59.4 is not a valid selectable code in CDC WONDER D158 and contributes no U.S. records. The archived U.S. series is age-adjusted, so archive differences are diagnostic only."
3.6.1,Death rate due to road traffic injuries,2021,14.081615,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_road_traffic_mortality,current_methodology_verified,"Current methodology: crude national rate using the current UN four-character road-traffic ICD-10 selection. UN-listed X59.4 is not a valid selectable code in CDC WONDER D158 and contributes no U.S. records. The archived U.S. series is age-adjusted, so archive differences are diagnostic only."
3.6.1,Death rate due to road traffic injuries,2022,13.842401,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_road_traffic_mortality,current_methodology_verified,"Current methodology: crude national rate using the current UN four-character road-traffic ICD-10 selection. UN-listed X59.4 is not a valid selectable code in CDC WONDER D158 and contributes no U.S. records. The archived U.S. series is age-adjusted, so archive differences are diagnostic only."
3.6.1,Death rate due to road traffic injuries,2023,13.391760,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_road_traffic_mortality,current_methodology_verified,"Current methodology: crude national rate using the current UN four-character road-traffic ICD-10 selection. UN-listed X59.4 is not a valid selectable code in CDC WONDER D158 and contributes no U.S. records. The archived U.S. series is age-adjusted, so archive differences are diagnostic only."
3.6.1,Death rate due to road traffic injuries,2024,12.581187,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_road_traffic_mortality,current_methodology_verified,"Current methodology: crude national rate using the current UN four-character road-traffic ICD-10 selection. UN-listed X59.4 is not a valid selectable code in CDC WONDER D158 and contributes no U.S. records. The archived U.S. series is age-adjusted, so archive differences are diagnostic only."
