indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1985,19.5,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1986,18.9,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1987,17.8,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1988,17.2,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1989,16.8,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1990,17.2,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1991,19.0,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1992,18.7,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1993,17.9,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,not_archive_validated,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1994,17.2,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,archive_matched,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1995,16.9,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,archive_matched,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1996,16.2,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,archive_matched,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1997,15.3,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,archive_matched,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
8.6.1,Percentage of youth ages 16-24 who are not enrolled in school and not employed,1998,14.6,percent,United States,{},U.S. Bureau of Labor Statistics,LABSTAT Labor Force Statistics from the Current Population Survey,https://downloadt.bls.gov/pub/time.series/ln/ln.data.1.AllData,bulk,2026-08-11,legacy_us_proxy_ages_16_24_not_enrolled_not_employed,archive_matched,"This is a legacy U.S.-adapted proxy covering ages 16-24 and school enrollment. The current global SDG 8.6.1 definition measures people ages 15-24 not in employment, education, or training (NEET)."
