indicator_id,indicator_title,year,value,unit,geography,disaggregation,source_organization,source_dataset,source_url,retrieval_method,retrieval_date,methodology_variant,validation_status,data_warning
3.4.2,Suicide mortality rate,2018,14.776532,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_suicide_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X60-X84 and Y87.0. The archived U.S. series is age-adjusted, so archive differences are diagnostic and are not validation failures."
3.4.2,Suicide mortality rate,2019,14.474491,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_suicide_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X60-X84 and Y87.0. The archived U.S. series is age-adjusted, so archive differences are diagnostic and are not validation failures."
3.4.2,Suicide mortality rate,2020,13.954845,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_suicide_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X60-X84 and Y87.0. The archived U.S. series is age-adjusted, so archive differences are diagnostic and are not validation failures."
3.4.2,Suicide mortality rate,2021,14.517598,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_suicide_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X60-X84 and Y87.0. The archived U.S. series is age-adjusted, so archive differences are diagnostic and are not validation failures."
3.4.2,Suicide mortality rate,2022,14.844839,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_suicide_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X60-X84 and Y87.0. The archived U.S. series is age-adjusted, so archive differences are diagnostic and are not validation failures."
3.4.2,Suicide mortality rate,2023,14.724935,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_suicide_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X60-X84 and Y87.0. The archived U.S. series is age-adjusted, so archive differences are diagnostic and are not validation failures."
3.4.2,Suicide mortality rate,2024,14.355314,"deaths per 100,000 population",United States,{},"Centers for Disease Control and Prevention, National Center for Health Statistics","National Vital Statistics System, Underlying Cause of Death, 2018-2024",https://wonder.cdc.gov/controller/datarequest/D158,cdc_wonder_api,2026-08-13,nvss_crude_suicide_mortality,current_methodology_verified,"Current methodology: crude national rate using ICD-10 X60-X84 and Y87.0. The archived U.S. series is age-adjusted, so archive differences are diagnostic and are not validation failures."
